origen,destino,origen_id,destino_id,origen_etiqueta,destino_etiqueta,peso,tipo_arista
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCOh6DaZC_x9HASnlRylEMfw,UCYwpX26TrCxq8TvbKGRYLXA,UCOh6DaZC_x9HASnlRylEMfw,@beneficioelcaminovillacana8540,@AndresMedina-v1s,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCQtICyzWmhC5woCtbNgaSmg,UCYwpX26TrCxq8TvbKGRYLXA,UCQtICyzWmhC5woCtbNgaSmg,@beneficioelcaminovillacana8540,@nestormendez6216,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCRETAiYdh2dL5ZxB0_N1zDA,UCYwpX26TrCxq8TvbKGRYLXA,UCRETAiYdh2dL5ZxB0_N1zDA,@beneficioelcaminovillacana8540,@Joseroland21,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCRlCV9zSn7avAWh-9_XFWqQ,UCYwpX26TrCxq8TvbKGRYLXA,UCRlCV9zSn7avAWh-9_XFWqQ,@beneficioelcaminovillacana8540,@ronyarana8849,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCB5p8a5gklc80jJItP6xTHg,UCYwpX26TrCxq8TvbKGRYLXA,UCB5p8a5gklc80jJItP6xTHg,@beneficioelcaminovillacana8540,@ernestogamboa8737,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCAlzM_N6xBlMYmM8EBzX86Q,UCYwpX26TrCxq8TvbKGRYLXA,UCAlzM_N6xBlMYmM8EBzX86Q,@beneficioelcaminovillacana8540,@carlossoto3252,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCTD6q1nyIe3Y7HhqjaMj72w,UCYwpX26TrCxq8TvbKGRYLXA,UCTD6q1nyIe3Y7HhqjaMj72w,@beneficioelcaminovillacana8540,@JuanChang-r6k,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCA93ym2TXs_Ibyxb4Vcn-6Q,UCYwpX26TrCxq8TvbKGRYLXA,UCA93ym2TXs_Ibyxb4Vcn-6Q,@beneficioelcaminovillacana8540,@oswaldosolis8728,1,autor-autor
a:UCDftMWXQoJ6nONfY7GVOVjg,a:UCySYJU5kUh7X8gVt9la2ISA,UCDftMWXQoJ6nONfY7GVOVjg,UCySYJU5kUh7X8gVt9la2ISA,@luisgpacheco5858,@dantesarti4351,1,autor-autor
a:UCDftMWXQoJ6nONfY7GVOVjg,a:UCylqlpsh8ENNM1LqgQ1KbxA,UCDftMWXQoJ6nONfY7GVOVjg,UCylqlpsh8ENNM1LqgQ1KbxA,@luisgpacheco5858,@Jel.Awesh.M,1,autor-autor
a:UCDftMWXQoJ6nONfY7GVOVjg,a:UCz3gu01bmjNv0DpRq-K3XYg,UCDftMWXQoJ6nONfY7GVOVjg,UCz3gu01bmjNv0DpRq-K3XYg,@luisgpacheco5858,@eusebiovasquez4385,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UC-hfX8J5JPJ-dfuakzegMLA,UCYwpX26TrCxq8TvbKGRYLXA,UC-hfX8J5JPJ-dfuakzegMLA,@beneficioelcaminovillacana8540,@normaleticiaorozcojuarez2418,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UC-jS_kA9w-OmpupXDx156Rg,UCYwpX26TrCxq8TvbKGRYLXA,UC-jS_kA9w-OmpupXDx156Rg,@beneficioelcaminovillacana8540,@simoncreyesc7579,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UC1vr9aaMI2crB0NvwFHUeoQ,UCYwpX26TrCxq8TvbKGRYLXA,UC1vr9aaMI2crB0NvwFHUeoQ,@beneficioelcaminovillacana8540,@JoseSimilox-p6e,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UC2Y_EHWQKevubk4vOEBBFxw,UCYwpX26TrCxq8TvbKGRYLXA,UC2Y_EHWQKevubk4vOEBBFxw,@beneficioelcaminovillacana8540,@alfonsomorales2653,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UC2weSE8rpqkGMOp6StYtVfg,UCYwpX26TrCxq8TvbKGRYLXA,UC2weSE8rpqkGMOp6StYtVfg,@beneficioelcaminovillacana8540,@katerynsantiago2907,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UC3E9mAgP7VoAE5mZoAexl5g,UCYwpX26TrCxq8TvbKGRYLXA,UC3E9mAgP7VoAE5mZoAexl5g,@beneficioelcaminovillacana8540,@EnnioAroche,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UC3NMzdMYryaw82kPTnsaljg,UCYwpX26TrCxq8TvbKGRYLXA,UC3NMzdMYryaw82kPTnsaljg,@beneficioelcaminovillacana8540,@marisosa7832,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UC4cXueR2bKGFJV0Fk76gwmA,UCYwpX26TrCxq8TvbKGRYLXA,UC4cXueR2bKGFJV0Fk76gwmA,@beneficioelcaminovillacana8540,@aluxdel4792,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UC5bG9nc_JV3FsNP2KseQiYw,UCYwpX26TrCxq8TvbKGRYLXA,UC5bG9nc_JV3FsNP2KseQiYw,@beneficioelcaminovillacana8540,@giovannirodas4836,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UC650pRT-OYzny3GwOH8Cgfw,UCYwpX26TrCxq8TvbKGRYLXA,UC650pRT-OYzny3GwOH8Cgfw,@beneficioelcaminovillacana8540,@edvinparedesherrera7632,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UC7VUuJr9cGh845CmTvf7TlQ,UCYwpX26TrCxq8TvbKGRYLXA,UC7VUuJr9cGh845CmTvf7TlQ,@beneficioelcaminovillacana8540,@LuisCastillo-oz4df,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UC8G5cJONY8L9voMyBW8Eoug,UCYwpX26TrCxq8TvbKGRYLXA,UC8G5cJONY8L9voMyBW8Eoug,@beneficioelcaminovillacana8540,@luisparedes-pw6qt,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UC8r11yOugM2NuRfitQOxLLg,UCYwpX26TrCxq8TvbKGRYLXA,UC8r11yOugM2NuRfitQOxLLg,@beneficioelcaminovillacana8540,@cesaraugustomoralesmonroy6907,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UC9xr9QvIcDvoZNUX5f-jaZw,UCYwpX26TrCxq8TvbKGRYLXA,UC9xr9QvIcDvoZNUX5f-jaZw,@beneficioelcaminovillacana8540,@MariaaliciaColonmorales,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCSou6a2OuYGSvPjm5psquyA,UCYwpX26TrCxq8TvbKGRYLXA,UCSou6a2OuYGSvPjm5psquyA,@beneficioelcaminovillacana8540,@FranciscoRivera-sf7ne,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCTP3O0rMnc8z8v8jaDQwL0w,UCYwpX26TrCxq8TvbKGRYLXA,UCTP3O0rMnc8z8v8jaDQwL0w,@beneficioelcaminovillacana8540,@RobertoZelaya-x1v,1,autor-autor
a:UCDftMWXQoJ6nONfY7GVOVjg,a:UCvApqeCbLod-wejtT4CcVuA,UCDftMWXQoJ6nONfY7GVOVjg,UCvApqeCbLod-wejtT4CcVuA,@luisgpacheco5858,@davidgaher9550,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCrJn_rbo_ENAdeqneS-RmRw,UCYwpX26TrCxq8TvbKGRYLXA,UCrJn_rbo_ENAdeqneS-RmRw,@beneficioelcaminovillacana8540,@josecarrera9623,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCsSXdJct-nsS8DsABoEsaYA,UCYwpX26TrCxq8TvbKGRYLXA,UCsSXdJct-nsS8DsABoEsaYA,@beneficioelcaminovillacana8540,@IvánPérez-j4j,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCsUCN0Yq_UyTvKjOJLmNrnQ,UCYwpX26TrCxq8TvbKGRYLXA,UCsUCN0Yq_UyTvKjOJLmNrnQ,@beneficioelcaminovillacana8540,@moisesvaldez4043,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCsjs5Hp_r86x1xbK6FAeqaA,UCYwpX26TrCxq8TvbKGRYLXA,UCsjs5Hp_r86x1xbK6FAeqaA,@beneficioelcaminovillacana8540,@alvaroesquivel563,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCtNfIBnc5S5DbbQj_yxgJTw,UCYwpX26TrCxq8TvbKGRYLXA,UCtNfIBnc5S5DbbQj_yxgJTw,@beneficioelcaminovillacana8540,@JosueRamirez-ey3ih,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCtUR3_CAiE7fCoZHM6cMfyQ,UCYwpX26TrCxq8TvbKGRYLXA,UCtUR3_CAiE7fCoZHM6cMfyQ,@beneficioelcaminovillacana8540,@mdelcid01,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCvApqeCbLod-wejtT4CcVuA,UCYwpX26TrCxq8TvbKGRYLXA,UCvApqeCbLod-wejtT4CcVuA,@beneficioelcaminovillacana8540,@davidgaher9550,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCwha8rxULYMVtNwZWeSkE1A,UCYwpX26TrCxq8TvbKGRYLXA,UCwha8rxULYMVtNwZWeSkE1A,@beneficioelcaminovillacana8540,@mariasamo8637,1,autor-autor
